anomaly_pattern,anomaly_point,change_point,timestamp,value
0,0,0,16/11/2017 00:21:42,869.5652174
0,0,0,16/11/2017 01:44:10,869.5652174
0,0,0,16/11/2017 01:50:37,869.5652174
0,0,0,16/11/2017 04:02:15,860.8695652
0,0,0,16/11/2017 04:13:55,860.8695652
0,0,0,16/11/2017 04:22:33,860.8695652
0,0,0,16/11/2017 04:32:00,860.8695652
0,0,0,16/11/2017 05:05:42,860.8695652
0,0,0,16/11/2017 05:34:42,852.173913
0,0,0,16/11/2017 06:48:35,834.7826087
0,0,0,16/11/2017 06:55:52,782.6086957
0,0,0,16/11/2017 07:47:06,782.6086957
0,0,0,16/11/2017 08:26:09,782.6086957
0,0,0,16/11/2017 08:28:05,782.6086957
0,0,0,16/11/2017 09:56:32,808.6956522
0,0,0,16/11/2017 10:55:24,808.6956522
0,0,0,16/11/2017 11:59:47,808.6956522
0,0,0,16/11/2017 13:21:37,852.173913
0,0,0,16/11/2017 13:35:20,843.4782609
0,0,0,16/11/2017 14:48:52,852.173913
0,0,0,16/11/2017 16:21:20,800
0,0,0,16/11/2017 16:28:24,800
0,0,0,16/11/2017 16:40:21,800
0,0,0,16/11/2017 16:52:57,773.9130435
0,0,0,16/11/2017 17:06:44,808.6956522
0,0,0,16/11/2017 17:47:21,800
0,0,0,16/11/2017 20:04:03,800
0,0,0,16/11/2017 20:08:23,800
0,0,0,16/11/2017 22:05:56,765.2173913
0,0,0,16/11/2017 22:25:19,765.2173913
0,0,0,16/11/2017 23:33:03,791.3043478
0,0,0,16/11/2017 23:37:52,756.5217391
0,0,0,16/11/2017 23:39:48,756.5217391
0,0,0,17/11/2017 00:22:40,756.5217391
0,0,0,17/11/2017 00:34:32,782.6086957
0,0,0,17/11/2017 00:58:33,765.2173913
0,0,0,17/11/2017 01:13:19,782.6086957
0,0,0,17/11/2017 01:15:40,782.6086957
0,0,0,17/11/2017 02:08:56,782.6086957
0,0,0,17/11/2017 03:06:47,791.3043478
0,0,0,17/11/2017 03:15:59,782.6086957
0,0,0,17/11/2017 04:03:48,782.6086957
0,0,0,17/11/2017 05:41:54,747.826087
0,0,0,17/11/2017 08:44:56,747.826087
0,0,0,17/11/2017 09:15:28,782.6086957
0,0,0,17/11/2017 09:55:20,739.1304348
0,0,0,17/11/2017 10:31:24,739.1304348
0,0,0,17/11/2017 11:50:23,739.1304348
0,0,0,17/11/2017 13:53:45,765.2173913
0,0,0,17/11/2017 13:58:36,773.9130435
0,0,0,17/11/2017 14:42:48,730.4347826
0,0,0,17/11/2017 14:54:44,730.4347826
0,0,0,17/11/2017 16:16:04,756.5217391
0,0,0,17/11/2017 19:18:29,721.7391304
0,0,0,17/11/2017 19:54:07,721.7391304
0,0,0,17/11/2017 20:31:29,721.7391304
0,0,0,17/11/2017 20:57:04,747.826087
0,0,0,17/11/2017 21:18:14,713.0434783
0,0,0,17/11/2017 22:00:25,713.0434783
0,0,0,17/11/2017 23:01:24,713.0434783
0,0,0,17/11/2017 23:53:24,739.1304348
0,0,0,18/11/2017 00:45:12,704.3478261
0,0,0,18/11/2017 03:23:40,704.3478261
0,0,0,18/11/2017 03:46:39,704.3478261
0,0,0,18/11/2017 04:06:32,730.4347826
0,0,0,18/11/2017 05:45:18,695.6521739
0,0,0,18/11/2017 06:49:43,695.6521739
0,0,0,18/11/2017 09:22:21,695.6521739
0,0,0,18/11/2017 11:22:07,721.7391304
0,0,0,18/11/2017 13:20:40,686.9565217
0,0,0,18/11/2017 14:00:37,686.9565217
0,0,0,18/11/2017 14:31:58,713.0434783
0,0,0,18/11/2017 15:15:07,686.9565217
0,0,0,18/11/2017 17:09:23,678.2608696
0,0,0,18/11/2017 17:26:52,678.2608696
0,0,0,18/11/2017 19:06:04,704.3478261
0,0,0,18/11/2017 20:41:51,704.3478261
0,0,0,18/11/2017 20:51:16,704.3478261
0,0,0,18/11/2017 22:26:52,704.3478261
0,0,0,18/11/2017 22:54:16,704.3478261
0,0,0,19/11/2017 02:29:10,704.3478261
0,0,0,19/11/2017 03:37:59,669.5652174
0,0,0,19/11/2017 04:44:20,669.5652174
0,0,0,19/11/2017 04:54:04,686.9565217
0,0,0,19/11/2017 04:56:00,695.6521739
0,0,0,19/11/2017 06:44:06,695.6521739
0,0,0,19/11/2017 07:48:53,695.6521739
0,0,0,19/11/2017 08:25:49,695.6521739
0,0,0,19/11/2017 09:24:23,695.6521739
0,0,0,19/11/2017 09:38:17,686.9565217
0,0,0,19/11/2017 12:59:04,660.8695652
0,0,0,19/11/2017 14:48:33,686.9565217
0,0,0,19/11/2017 15:13:20,686.9565217
0,0,0,19/11/2017 16:26:01,678.2608696
0,0,0,19/11/2017 16:41:16,652.173913
0,0,0,19/11/2017 17:41:48,678.2608696
0,0,0,19/11/2017 19:49:16,669.5652174
0,0,0,19/11/2017 20:43:40,669.5652174
0,0,0,19/11/2017 21:17:36,669.5652174
0,0,0,19/11/2017 23:34:33,669.5652174
0,0,0,19/11/2017 23:46:44,669.5652174
0,0,0,20/11/2017 01:16:54,669.5652174
0,0,0,20/11/2017 01:20:11,669.5652174
0,0,0,20/11/2017 01:34:42,669.5652174
0,0,0,20/11/2017 01:35:35,678.2608696
0,0,0,20/11/2017 02:41:11,678.2608696
0,0,0,20/11/2017 03:40:40,669.5652174
0,0,0,20/11/2017 06:25:36,660.8695652
0,0,0,20/11/2017 09:04:50,669.5652174
0,0,0,20/11/2017 11:29:01,617.3913043
0,0,0,20/11/2017 12:10:38,660.8695652
0,0,0,20/11/2017 13:09:50,669.5652174
0,0,0,20/11/2017 13:14:12,660.8695652
0,0,0,20/11/2017 13:20:10,660.8695652
0,0,0,20/11/2017 14:02:37,660.8695652
0,0,0,20/11/2017 17:35:43,660.8695652
0,0,0,20/11/2017 17:42:38,660.8695652
0,0,0,20/11/2017 19:08:14,669.5652174
0,0,0,20/11/2017 19:10:55,608.6956522
0,0,0,20/11/2017 22:36:20,608.6956522
0,0,0,21/11/2017 03:54:36,600
0,0,0,21/11/2017 04:08:57,617.3913043
0,0,0,21/11/2017 04:48:18,652.173913
0,0,0,21/11/2017 05:54:18,626.0869565
0,0,0,21/11/2017 08:06:17,643.4782609
0,0,0,21/11/2017 08:56:50,634.7826087
0,0,0,21/11/2017 09:30:30,634.7826087
0,0,0,21/11/2017 09:30:48,634.7826087
0,0,0,21/11/2017 09:48:17,634.7826087
0,0,0,21/11/2017 10:41:51,634.7826087
0,0,0,21/11/2017 10:47:40,626.0869565
0,0,0,21/11/2017 11:43:38,600
0,0,0,21/11/2017 11:58:44,626.0869565
0,0,0,21/11/2017 13:02:23,634.7826087
0,0,0,21/11/2017 13:11:11,626.0869565
0,0,0,21/11/2017 13:29:27,634.7826087
